,DATE,Close
150,2020-05-29,79.49
151,2020-05-30,79.49
152,2020-05-31,79.49
153,2020-06-01,80.46
154,2020-06-02,80.84
155,2020-06-03,81.28
156,2020-06-04,80.58
157,2020-06-05,82.88
158,2020-06-06,82.88
159,2020-06-07,82.88
160,2020-06-08,83.37
161,2020-06-09,86.0
162,2020-06-10,88.21
163,2020-06-11,83.98
164,2020-06-12,84.7
165,2020-06-13,84.7
166,2020-06-14,84.7
167,2020-06-15,85.75
168,2020-06-16,88.02
169,2020-06-17,87.9
170,2020-06-18,87.93
171,2020-06-19,87.43
172,2020-06-20,87.43
173,2020-06-21,87.43
174,2020-06-22,89.72
175,2020-06-23,91.63
176,2020-06-24,90.02
177,2020-06-25,91.21
178,2020-06-26,88.41
179,2020-06-27,88.41
180,2020-06-28,88.41
181,2020-06-29,90.45
182,2020-06-30,91.2
183,2020-07-01,91.03
184,2020-07-02,91.03
185,2020-07-03,91.03
186,2020-07-04,91.03
187,2020-07-05,91.03
188,2020-07-06,93.46
189,2020-07-07,93.17
190,2020-07-08,95.34
191,2020-07-09,95.68
192,2020-07-10,95.92
193,2020-07-11,95.92
194,2020-07-12,95.92
195,2020-07-13,95.48
196,2020-07-14,97.06
197,2020-07-15,97.73
198,2020-07-16,96.52
199,2020-07-17,96.33
200,2020-07-18,96.33
201,2020-07-19,96.33
202,2020-07-20,98.36
203,2020-07-21,97.0
204,2020-07-22,97.27
205,2020-07-23,92.85
206,2020-07-24,92.62
207,2020-07-25,92.62
208,2020-07-26,92.62
209,2020-07-27,94.81
210,2020-07-28,93.25
211,2020-07-29,95.04
212,2020-07-30,96.19
213,2020-07-31,106.26
214,2020-08-01,106.26
215,2020-08-02,106.26
216,2020-08-03,108.94
217,2020-08-04,109.67
218,2020-08-05,110.06
219,2020-08-06,113.9
220,2020-08-07,111.11
221,2020-08-08,111.11
222,2020-08-09,111.11
223,2020-08-10,112.73
224,2020-08-11,109.38
225,2020-08-12,113.01
226,2020-08-13,115.01
227,2020-08-14,114.91
228,2020-08-15,114.91
229,2020-08-16,114.91
230,2020-08-17,114.61
231,2020-08-18,115.56
232,2020-08-19,115.71
233,2020-08-20,118.28
234,2020-08-21,124.37
235,2020-08-22,124.37
236,2020-08-23,124.37
237,2020-08-24,125.86
238,2020-08-25,124.83
239,2020-08-26,126.52
240,2020-08-27,125.01
241,2020-08-28,124.81
242,2020-08-29,124.81
243,2020-08-30,124.81
244,2020-08-31,129.04
245,2020-09-01,134.18
246,2020-09-02,131.4
247,2020-09-03,120.88
248,2020-09-04,120.96
249,2020-09-05,120.96
250,2020-09-06,120.96
251,2020-09-07,120.96
252,2020-09-08,112.82
253,2020-09-09,117.32
254,2020-09-10,113.49
255,2020-09-11,112.0
256,2020-09-12,112.0
257,2020-09-13,112.0
258,2020-09-14,115.36
259,2020-09-15,115.54
260,2020-09-16,112.13
261,2020-09-17,110.34
262,2020-09-18,106.84
263,2020-09-19,106.84
264,2020-09-20,106.84
265,2020-09-21,110.08
266,2020-09-22,111.81
267,2020-09-23,107.12
268,2020-09-24,108.22
269,2020-09-25,112.28
270,2020-09-26,112.28
271,2020-09-27,112.28
272,2020-09-28,114.96
273,2020-09-29,114.09
274,2020-09-30,115.81
275,2020-10-01,116.79
276,2020-10-02,113.02
277,2020-10-03,113.02
278,2020-10-04,113.02
279,2020-10-05,116.5
280,2020-10-06,113.16
281,2020-10-07,115.08
282,2020-10-08,114.97
283,2020-10-09,116.97
284,2020-10-10,116.97
285,2020-10-11,116.97
286,2020-10-12,124.4
287,2020-10-13,121.1
288,2020-10-14,121.19
289,2020-10-15,120.71
290,2020-10-16,119.02
291,2020-10-17,119.02
292,2020-10-18,119.02
293,2020-10-19,115.98
294,2020-10-20,117.51
295,2020-10-21,116.87
296,2020-10-22,115.75
297,2020-10-23,115.04
298,2020-10-24,115.04
299,2020-10-25,115.04
300,2020-10-26,115.05
301,2020-10-27,116.6
302,2020-10-28,111.2
303,2020-10-29,115.32
304,2020-10-30,108.86
305,2020-10-31,108.86
306,2020-11-01,108.86
307,2020-11-02,108.77
308,2020-11-03,110.44
309,2020-11-04,114.95
310,2020-11-05,119.03
311,2020-11-06,118.69
312,2020-11-07,118.69
313,2020-11-08,118.69
314,2020-11-09,116.32
315,2020-11-10,115.97
316,2020-11-11,119.49
317,2020-11-12,119.21
318,2020-11-13,119.26
319,2020-11-14,119.26
320,2020-11-15,119.26
321,2020-11-16,120.3
322,2020-11-17,119.39
323,2020-11-18,118.03
324,2020-11-19,118.64
