,created_at,CleanS
154,2020-06-02,0.24452554744525548
155,2020-06-03,0.33586337760910817
156,2020-06-04,0.17578125
157,2020-06-05,0.4088541666666667
158,2020-06-06,0.37572254335260113
159,2020-06-07,0.36633663366336633
160,2020-06-08,0.46578366445916114
161,2020-06-09,0.4055045871559633
162,2020-06-10,0.22448979591836735
163,2020-06-11,0.0906274206041828
164,2020-06-12,0.05759162303664921
165,2020-06-13,0.3798449612403101
166,2020-06-14,0.33613445378151263
167,2020-06-15,0.33964817320703655
168,2020-06-16,0.306832298136646
169,2020-06-17,0.21307506053268765
170,2020-06-18,0.23616734143049933
171,2020-06-19,0.11595273264401773
172,2020-06-20,0.3660377358490566
173,2020-06-21,0.3333333333333333
174,2020-06-22,0.36615566037735847
175,2020-06-23,0.2696629213483146
